X,Y,id,name,name_fr,code
10.7988301,33.86370184,1,مليتة 2,Mellita 2,HS 091
10.81067653,33.86268142,2,مليتة 1,Mellita 1,HS 090
10.82517735,33.86370184,3,جامع الكبير,Mosquet Kébir,HS 089
10.79042455,33.86606919,4,سوسى,Essouissi,HS 092
10.77720177,33.86957927,5,المطار,L'aéroport,HS 093
10.79199752,33.85802811,6,مرقان 1,Margane 1,HS 094
10.78541071,33.855783,7,مرقان 2,Margane 2,HS 095
10.83900515,33.87007028,8,الحماية,Elhimaya,HS 087
10.84298569,33.87288926,9,بئر مقلس,Bir mgalas,HS 086
10.858049,33.872285,10,حومة السوق,Houmet Souk,HS 001
10.86589335,33.86673275,11,المستشفى,L'hôpital,HS 040
10.88622537,33.87055632,12,فاتو 1,Fatou1,HS 021
10.86076157,33.88199359,13,المرسى,Station Elmarsa,HS 017
10.87047879,33.87927211,14,الولاية,Elwilayia,HS 018
10.88015698,33.87745775,15,سيدي زايد,Sidi Zayed,HS 019
10.8908108,33.87535174,16,الابيرات,Lobirette,HS 020
10.89916215,33.87376409,17,فاتو 2,Fatou2,HS 022
10.90396222,33.87470372,18,سيدي اسماعيل,Sidi Ismail,HS 023
10.91008914,33.87314847,19,ارواي,Arouay,HS 024
10.9290943,33.87344008,20,مفترق غيزن,Croisement Guisen,HS 025
10.94542625,33.86887138,21,المقطع,Elmagtaa,HS 031
10.93742613,33.87010268,22,راس الطابية,Ras ettabia ,HS 026
10.9533093,33.86926021,23,اثينة,Athene,HS 032
10.95959232,33.86731602,24,اوليس,Ulysse,HS 033
10.96767049,33.86605226,25,الجزيرة,Eljazira,HS 034
10.96798269,33.86109429,26,دالي,Dalli,HS 035
10.97395351,33.85914991,27,هوليداي,Holiday,HS 036
10.97840236,33.85516379,28,المدينة,Elmadina,HS 037
10.9831634,33.85571473,29,ابو نواس,Abou Nawess,*
10.98687078,33.85169604,30,النخيل,Palm Beach,*
10.98730005,33.84699653,31,تومانة,Toumana,HS 057
10.9889391,33.84320432,32,ياسمينة,Yasmina,HS 056
10.99565139,33.84362568,33,دار ميدون,Dar Midoun,HS 054
10.99295867,33.8390878,34,الموعد,R.D.V,HS 055
10.99900754,33.84006022,35,صدربعل,Hasdrubal,HS 053
11.00080269,33.83665669,36,مينانكس,Minenx,HS 052
11.00513446,33.83195635,37,الهناء,Elhana,HS 051
11.00954429,33.82884426,38,بلاتزا,Plazza,HS 050
11.01317361,33.82732059,39,م. غولف,Golf,HS 049
11.01645171,33.82618592,40,ياديس,Yadis,HS 048
11.01953468,33.82550511,41,المهاري,Elmahari,HS 047
11.02312498,33.82527818,42,المنارة,Elmanara,HS 046
11.02710552,33.82638044,43,ابو نواس غولف,Abou Nawess Golf,HS 045
11.0301885,33.82702882,44,دار جربة,Dar Jeba,HS 044
11.04095939,33.82456494,45,الناظور,Phare Ennadhour,HS 043
10.99082,33.805388,46,ميدون,Midoun,DN 001
10.98511465,33.80368402,47,حاضر باش,Hadher bach,DN 058
10.97777796,33.81649202,48,فضلون,Fadhloun ,DN 103
10.97231446,33.81808073,49,جامع القايد 1,Mosquet Elgayed 1,HS 052
10.97311447,33.79878729,50,بوفادن,Boufaden,DN 059
10.96616803,33.79697121,51,المحبوبيين,Mahboubine,DN 060
10.99383673,33.79846299,52,ج بن عمارة,Mosquet Ben Ammar,DN 008
10.99504651,33.79252815,53,الصايغ,Essaegh,DN 009
10.99879291,33.78464681,54,العزموني,Elazmouni,DN 010
11.0044125,33.78260339,55,ج اركو,Mosquet Arko,DN 011
11.01135895,33.78224659,56,أركو,Arko,DN 012
11.02013957,33.7811762,57,الوشنية,Elwachnia,DN 014
11.02665674,33.78438733,58,المستوصف,Elmoustaoussef,DN 015
11.03555443,33.77708913,59,المعمورة,Elmaamoura,DN 023
11.03922278,33.7786137,60,كارتاقو,Carthago,DN 024
11.04343748,33.7808194,61,كاليبسو,Calipso,DN 025
11.0494083,33.78163031,62,جربة الحلوة,Jerba La douce,DN 026
11.05498887,33.78263582,63,جربة منزل,Jerba Menzel,DN 027
11.05483277,33.78536038,64,جربة الوفية,Jerba La fidèle,DN 028
11.0497205,33.78714427,65,الجمل,Ejmel,DN 029
11.03906668,33.79123086,66,المدرسة,Elmadrassa,DN 030
11.03079338,33.79440918,67,بن نصر,Ben Nacr,DN 031
11.00074415,33.80465685,68,ج بن عاشور,Mosquet Ben Achour,DN 034
11.01007112,33.7990143,69,ج بوزقين,Hanout Bouzguin,DN 033
11.02934946,33.80858047,70,تزدايين,Tazdin,DN 032
11.0501888,33.7941173,71,بئر حمودة,Dar Hamouda,DN 040
11.04386675,33.81243907,72,خ الضوء,Dar Edhaou,DN 041
11.04277405,33.81889129,73,التماسيح,Djerba Explorer (Ettmassi7),DN 042
11.05522302,33.80407315,74,تانيط,Tanit,*
11.03574956,33.81944246,75,معمر,Maamar,DN 039
11.02981776,33.81924793,76,الفيتوري,Elfitouri,DN 038
11.02279326,33.81720533,77,مدرسة ياتي,Yati,DN 037
11.01307605,33.81438451,78,المقارسة,Elmgarsa,DN 036
11.00343688,33.81347664,79,المهيري,Elmhiri,DN 035
10.97920237,33.8079968,80,خزرون,Khazroun,DN 104
10.97014857,33.80916414,81,جامع القايد 2,Mosquet Elgayed 2,HS 053
10.95504591,33.80089519,82,الوريمي,Elweryemmi,DN 101
10.94864581,33.79992232,83,التوتة,Ettouta,DN 100
10.93931884,33.79450648,84,المحراب,elmehrab,DN 099
10.93182605,33.79230112,85,الحجرة البيضاء,Elhajra elbidha,DN 098
10.9228503,33.79226869,86,الحزم,Elhazem,DN 097
10.91590386,33.79531725,87,بن حمودة,Ben Hamouda,DN 096
10.908841,33.796581,88,الحاج دحمان,Hadj Dahmane,DN 095
10.9020821,33.7968814,89,الكابو,ElKabou,DN 094
10.884753,33.801815,90,الماي,Elmay,DN 092
10.88827418,33.78840919,91,المعبري,Elmaabri,DN 090
10.86509334,33.79356596,92,واد أمغار,Oued amgar,DN 0102
10.84671258,33.78607394,93,علامات صرندي,Allamet Esrandi,HS 076
10.84359058,33.79100383,94,بن عريبي,Ben Arbi,HS 075
10.84952238,33.77588893,95,بن عيسى,Ben Aissa,AJ 021
10.84178313,33.78367698,96,جامع الليل,Mosquet Ellil,AJ 020
10.83304015,33.77948192,97,بن تردايت,Ben Terdayet,AJ 019
10.82010427,33.7734996,98,صرندي,Srendi,AJ 018
10.81239456,33.76755689,99,العصايدية,Elassayda,AJ 017
10.80833384,33.78139014,100,واد الزبيب,Oued Ezbib,AJ 048
10.80612983,33.78659348,101,بربوش,Barbouch,AJ 041
10.74497447,33.72092086,102,أجيم,Ajim,AJ 000
10.76608698,33.7285484,103,ح فاضل,Hwanet Fadhel,AJ 003
10.77494565,33.72929489,104,مثانية,La methania,AJ 004
10.78341407,33.72968436,105,بن عزون,Ben Azoun,AJ 005
10.84046858,33.73179396,106,الخواي 1,Elkhaway 1,AJ 006
